Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago,user
0.6249,Wed Sep 26 19:57:54 +0000 2018,0.779,0.0,0.221,1045039782957481984,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",12,@CBS
0.0,Wed Sep 26 17:25:43 +0000 2018,1.0,0.0,0.0,1045001482607546369,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",13,@CBS
-0.2714,Tue Sep 25 21:10:56 +0000 2018,0.764,0.138,0.098,1044695774011904001,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",14,@CBS
-0.2263,Tue Sep 25 20:31:45 +0000 2018,0.909,0.091,0.0,1044685911701643264,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",15,@CBS
0.0,Tue Sep 25 19:54:26 +0000 2018,1.0,0.0,0.0,1044676520550195200,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,16,@CBS
0.7901,Tue Sep 25 19:45:33 +0000 2018,0.709,0.0,0.291,1044674284621258752,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,17,@CBS
0.0,Tue Sep 25 18:34:26 +0000 2018,1.0,0.0,0.0,1044656389224718336,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",18,@CBS
0.0,Tue Sep 25 18:05:31 +0000 2018,1.0,0.0,0.0,1044649110979018752,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",19,@CBS
0.0,Mon Sep 24 18:56:15 +0000 2018,1.0,0.0,0.0,1044299490151124992,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",20,@CBS
-0.2263,Sun Sep 23 23:24:03 +0000 2018,0.913,0.087,0.0,1044004495758225408,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in ATL, Indy, NOLA, Kansas City, NYC, Philly, Prov… https://t.co/fejqoxtvSY",21,@CBS
0.0,Sun Sep 23 14:00:00 +0000 2018,1.0,0.0,0.0,1043862549178060800,Kick off your Sunday with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺… https://t.co/kbo7N27mY9,22,@CBS
